SETTLEMENTDATE,REGIONID,RRP
2026-03-10 18:45:00,VIC1,100.61228
2026-03-10 18:50:00,VIC1,106.92
2026-03-10 18:55:00,VIC1,101.35277
2026-03-10 19:00:00,VIC1,99.69
2026-03-10 19:05:00,VIC1,106.84
2026-03-10 19:10:00,VIC1,100.56012
2026-03-10 19:15:00,VIC1,97.79938
2026-03-10 19:20:00,VIC1,94.84256
2026-03-10 19:25:00,VIC1,81.37167
2026-03-10 19:30:00,VIC1,79.37586
2026-03-10 19:35:00,VIC1,84.19951
2026-03-10 19:40:00,VIC1,79.27837
2026-03-10 19:45:00,VIC1,74.98606
2026-03-10 19:50:00,VIC1,74.97238
2026-03-10 19:55:00,VIC1,72.69
2026-03-10 20:00:00,VIC1,74.02
2026-03-10 20:05:00,VIC1,72.67
2026-03-10 20:10:00,VIC1,72.69
2026-03-10 20:15:00,VIC1,67.48905
2026-03-10 20:20:00,VIC1,68.61294
2026-03-10 20:25:00,VIC1,48.09979
2026-03-10 20:30:00,VIC1,56.70667
2026-03-10 20:35:00,VIC1,69.64913
2026-03-10 20:40:00,VIC1,70.16143
2026-03-10 20:45:00,VIC1,58.5
2026-03-10 20:50:00,VIC1,57.16764
2026-03-10 20:55:00,VIC1,58.5
2026-03-10 21:00:00,VIC1,56.5
2026-03-10 21:05:00,VIC1,57.15824
2026-03-10 21:10:00,VIC1,56.5
2026-03-10 21:15:00,VIC1,56.5
2026-03-10 21:20:00,VIC1,56.5
2026-03-10 21:25:00,VIC1,56.5
2026-03-10 21:30:00,VIC1,56.5
2026-03-10 21:35:00,VIC1,56.5
2026-03-10 21:40:00,VIC1,56.5
2026-03-10 21:45:00,VIC1,55.99
2026-03-10 21:50:00,VIC1,55.97
2026-03-10 21:55:00,VIC1,55.64606
2026-03-10 22:00:00,VIC1,54.67
2026-03-10 22:05:00,VIC1,54.69
2026-03-10 22:10:00,VIC1,56.5
2026-03-10 22:15:00,VIC1,44.43357
2026-03-10 22:20:00,VIC1,54.14464
2026-03-10 22:25:00,VIC1,54.52596
2026-03-10 22:30:00,VIC1,53.62102
2026-03-10 22:35:00,VIC1,53.34802
2026-03-10 22:40:00,VIC1,53.78191
2026-03-10 22:45:00,VIC1,45.43179
2026-03-10 22:50:00,VIC1,46.9066
2026-03-10 22:55:00,VIC1,46.5624
2026-03-10 23:00:00,VIC1,32.661
2026-03-10 23:05:00,VIC1,24.15231
2026-03-10 23:10:00,VIC1,46.67
2026-03-10 23:15:00,VIC1,35.9401
2026-03-10 23:20:00,VIC1,20.78124
2026-03-10 23:25:00,VIC1,20.04
2026-03-10 23:30:00,VIC1,20.14848
2026-03-10 23:35:00,VIC1,20.42018
2026-03-10 23:40:00,VIC1,20.18532
2026-03-10 23:45:00,VIC1,12.71008
2026-03-10 23:50:00,VIC1,9.5445
2026-03-10 23:55:00,VIC1,0.01006
2026-03-11 00:00:00,VIC1,8.95
2026-03-11 00:05:00,VIC1,6.82
2026-03-11 00:10:00,VIC1,8.95
2026-03-11 00:15:00,VIC1,8.95
2026-03-11 00:20:00,VIC1,0.01006
2026-03-11 00:25:00,VIC1,8.95
2026-03-11 00:30:00,VIC1,8.95
2026-03-11 00:35:00,VIC1,8.95
2026-03-11 00:40:00,VIC1,0.01006
